Amendment No,#Pages,Sponsor,Affected Sections,What Does it Do?,Good/Bad/Questions/Vague/NA,Comments
64,31,Liz Walsh,"Chapter 2, Growth and Conservation Framework: 29, 30, 31, 32, 36, 39, 40; Chapter 5, Economic Prosperity: 22, 30, 31, 32, and 33; Chapter 7: Quality by Design: 32; Chapter 11: Implementation: 28; Technical Appendix B: Character Areas: 2, 45, 46, 47; 2023 Council Draft Route 1 Corridor Plan: 14, 30, 61, 62, 64, 65, 66, 68, 69, 72, 75, 76, 79, 83, 84, 87, 91, 92, and 93.",Removes a proposal that seeks to co-locate industrial and residential zones and excludes the possiblity of exploring industrial mixed use character areas. Completely eliminates the concept of industrial mixed use as an idea.,Good,
65,4,Liz Walsh,"Chapter 3, Ecological Health:19 and 20; Chapter 10: Managing Growth: 7 and 8; Chapter 11: Implementation: 17;","Reduces the APFO allocation to 1,430 from 1,580. Elimnates the idea of density bonus and other previoulsy failed ideas as an incentives for preservation and restoration measures.",Good,
66,23,Liz Walsh,"Chapter 2: Growth and Conservation Framework: 16; Chapter 5: Economic Prosperity: 13, 27, 31, 32, 36, 37, and 49; Chapter 7: Quality by Design: 3, and 32; Chapter 8: Public School Facilities: 25 and 26; Chapter 10: Managing Growth: 6, and 8; Chapter 11: Implementation: 30, and 52; Technical Appendix C: Focus Areas: 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, and 46.",Eliminates Gateway as a target for redevelopment thereby preserving its commercial zoning.,Good,
67,2,Liz Walsh,"Chapter 2, Growth and Conservation Framework: 39 and 40",Adds a new map to the FLUM with more focus on the locaiton of Activity Centers.,Good,
68,13,Liz Walsh,"Chapter 3, Ecological Health:19, 20, and 49; Chapter 5: Economic Prosperity: 25 and 33; Chapter 7: Quality by Design: 25 and 30; Chapter 10: Managing Growth: 7; and Chapter 11: Implementation: 17, 21, 28; and 46.",Eliminates a proposal to replace existing historic district zones with new historic zoning district overlays or form-based districts.,Good,This is an attempt to backdoor proposals that benefit developers.
69,13,Liz Walsh,"Chapter 2: Growth and Conservation Framework: 38; Chapter 5: Economic Prosperity: 22 and 25; Chapter 7: Quality by Design: 25, 27, 30, and 43; Chapter 11: Implementation: 46;
2023 Council Draft Route 1 Corridor Plan: 28, 46, and 47.",Removes any refernce to the 2018 Land Development Regulation Assessment.,Good,Eliminates a questionable report that pushes a developer narrartive.
70,15,Liz Walsh,"Chapter 6: Dynamic Neighborhoods: 44, 50, 51, 54, 58, 62 • Chapter 10: Managing Growth: 7 and 8 Chapter 11: Implementation: 37, 39, 41, 42, 43, 59, and 60.",Requires allocation of 300 units to income less than 60% AMI by reducing allocations in other categories. And requies the county process is adjusted to meet a certain trageted affordable housing annually. Adds a whole host of implementing actions to advance tenant protections and expand affordable housing.,Good,
71,3,Liz Walsh,Chapter 8: Public School Facilities: 9 and insert 9.1 after page 9.,Updates a table that shows capacity and utlization of schools in Howard County.,Good,Accuracy of data to advance better policy decisions.
72,9,Deb Jung,"Chapter 8: Public School Facilities: 8, 10, 11, 12, 18, 25, 26, and 28; and Chapter 11: Implementation: 51 and 52.",The core of this amendment is to strike out proposals to eliminate APFO.,Good,"Deletion of: ""Direct the Adequate Public Facilities Ordinance (APFO) taskforce to develop recommendations as to the applicability of APFO to DHCD accessory dwelling unit creation or construction."""
73,3,Deb Jung,"Chapter 6: Dynamic Neighborhoods, page 40; and • Chapter 11: Implementation, page 37.",Removes a proposal that direct the Adequate Public Facilities Ordinance (APFO) task force to develop recommendations as to the applicability of APFO to accessory dwelling unit creation or construction.,Good,
74,19,Deb Jung,"Chapter 5, Economic Prosperity: 10, 11, 14, 30, 33, 35, 36, 37, 42, 43, 44, 46, 48, 49, 50, 52, and 60; Chapter 11: Implementation: 30, 31, 32, and 34.","-Amends the EP-4 Policy Statement Implementing Actions to
remove a requirement to amend the Zoning Regulations for
Activity Centers, allow redevelopment in Activity Centers that
provides convenient retail and services, and remove the creation
of housing for County essential workers;
- Amends the EP-5 Policy Statement Implementing Actions to
combine a study for incentivizing arts and entertainment in
Ellicott City and remove a requirement to integrate arts and
revitalization efforts at Long Reach Village Center;
-Amends the EP-6 Policy Statement Implementing Actions to
remove a reference to autonomous vehicles from a consideration
of reducing parking ratios to accommodate future technology;
- Amends the EP-8 Policy Statement Implementing Actions to
remove a reference to village centers; and
- Amends the EP-11 Policy Statement Implementing Actions to
remove a reference to beginning farmers having access to
community gardens.)",,
75,3,Deb Jung,"Chapter 6: Dynamic Neighborhoods, page 51; and • Chapter 11: Implementation, page 39.","-Amends Implementation Action 4c to clarify that incentives related to development are outside of New Town zoning. 
- Amends Implementing Policy and Implementing Action 4d. in the DN-5 Policy Statement in Table 10-1: Implementation Matrix by deleting the following language: “, exemptions from school requirements in the Adequate Public Facilities Ordinance,”).",Good,
76,16,Deb Jung,"Chapter 7: Quality By Design: 17, 21, 22, 25, 26, 27, 30, 31, 34, 38, 39, 40, 42, and 44; Chapter 11: Implementation: 46, 47, 48, and 49.","Create a taskforce to determine how to preserve New Town’s planned community framework,
fixed densities, and existing character as defined through the master development plan while
considering future redevelopment
Ensure better retail success in the Village Centers by initiating a new market study to update the 2014
study that will clearly identify supportable retail types and quantities at each center. Non-retail uses,
including civic and cultural, should be included. This becomes a roadmap regarding support for and
input into county and developer proposals.
Incentivize affordable housing that can be purchased by low and moderate
income buyers.",Good,"""Increase MIHU requirements by 5% for all new apartment developments."""
77,2,Deb Jung,"Chapter 6: Dynamic Neighborhoods, page 6.",Amends the “Equity in Action” subsection of “What We Heard” by adding a bullet point “Increase MIHU requirements by 5% for all new apartment developments.,Good,
78,3,Deb Jung,"Chapter 6: Dynamic Neighborhoods, page 66; and • Chapter 11: Implementation, page 44.","Amends DN-14 Policy and Implementing Action 3 in Table 10-1: Implementation Matrix by adding after the period ""Expand our landlord-tenant division and the enforcement component to support the maintenance and revitalization of multi-family communities.",Good,
79,19,"Deb Jung, Liz Walsh","Chapter 3: Ecological Health: 5, 7, 8, 11, 14, 15, 18, 19, 20, 21, 24, 26, 33, 42, 44, and 56;  Chapter 11: Implementation: 15, 16, 17, 18, and 20.","-Amends the EH-1 Policy Statement Implementing Actions to
track outcomes of ecological health investments and provide
maintenance and enforcement,and adds an action to develop
open space percentage requirements for activity centers;
- Amends the EH-2 Policy Statement Implementing Actions to
include resiliency in the title of the Climate Action Plan, ensure
County departments align policies with ecological health goals,
and adopt the International Green Construction Code ;
- Removed EH-4 ""incentivize additional resource protection and restoration measures within new development and redevelopment;
-Amends the EH-5 Policy Statement Implementing Actions to
incentivize existing commercial centers to provide stormwater
management systems, reduce stormwater runoff and incorporate
water quality management practices, increase the use of green
stormwater infrastructure, and add the requirement that
redevelopment meets new development stormwater
requirements;
- Amends the EH-7 Policy Statement Implementing Actions to
include invasive species removal in forest management.)",Good,Increases accountability measures.
80,7,Deb Jung,"Chapter 10, Managing Growth: 5, 6, 13, 14, 17, 21, and 22;  Chapter 11: Implementation: 59.","Amends the MG-1 Policy Statement to remove a reference to amending APFO and substitute the APFO will be evaluated to support the vision of HoCo By Design in accordance with the law established for the review of APFO, and amends the Implementing Actions to clarify APFO is a model to pace future growth rather than support future growth, remove an evaluation of granting automatic or limited exceptions to incentivize affordable, age-restricted, and missing middle housing, remove an examination of alternatives to APFO waiting periods, and remove the development of fee-based funding methods.)",Good,"Adds that future development should include ""strengthening requirements for higher level architectural design."""
81,2,Deb Jung,Chapter 7: Quality By Design: 9.,Quality by Design to add strengthened requirements for higher level architectural design when redevelopment is identifying current styles,Good,related to housing unit allocations
82,2,Deb Jung,"Chapter 10, Managing Growth: 7 and 8.","Amends the narrative section titled “Adequate Public Facilities Ordinance (APFO)” and
Table 10-1 to:
o Remove the Green Neighborhood program;
o Removes the Affordable Housing program and substitute an Affordable For
Purchase Units program and a Affordable Rental Housing Units program;
o Increases the Affordable For Purchase and the Affordable Rental Units allocation
from 150 to 250 annually; and
o Reduces the Activity Center allocations from 600 to 400.)",Good,Deletes paragraph claiming that resale of homes results in increase of student population
83,2,Deb Jung,Chapter 8: Public School Facilities: 11.,Removes misleading narrartive about the main source of school population that suggests that turnover is the major contributor.,Good,This edit acknowledges that the future number of students is unknown
84,2,Deb Jung,Chapter 8: Public School Facilities: 16.,"HoCo by Design Chapter 8: Public School Facilities to remove a
reference to how a future change in unit type mix will yield fewer new students and substitute
that the future change in the housing mix will result in an unknown number of new students",Good,"""The County should maximize available school construction revenues from the State by offering the local match each year."""
85,2,Deb Jung,Chapter 8: Public School Facilities: 21.,"This Amendment amends HoCo by Design Chapter 8: Public School Facilities to add that the
County should maximize school construction revenue from the State by offering the local match
each year",Good,"""3. Consider adjusting the distribution of the Transfer Tax revenue to prioritize maintenance funding and school construction."""
86,3,Liz Walsh,Chapter 9: Supporting Infrastructure: page 9. • Chapter 11: Implementation: page 53.,"Add a new Implementing Action to Policy Statement INF-1 to
consider adjusting the Transfer Tax distribution formula to
emphasize funding of maintenance and school construction",Good,
87,3,David Yungmann,"Chapter 5: Economic Prosperity, page 61.  Chapter 5: Economic Prosperity, insert a new page 61.1. Chapter 11: Implementation, page 35. Chapter 11: Implementation, insert a new page 35.1.","Adds a new Policy Statement EP-14 and corresponding
Implementing Actions which pertain to consolidating fragmented
agricultural supports.",,Includes farm stays and entertainment venues as agritourim uses
88,3,David Yungmann,"Chapter 5: Economic Prosperity, page 60. • Chapter 11: Implementation, page 35",Amends an Implementing Action in Policy Statement EP-12 to add agritourism to the barriers that should be reduced.,,"""Recognize the Agriculture Land Preservation and Promotion Fund as a funding source not only for acquisition of easements, but for the promotion and backing of the industry and operating businesses in accordance with applicable laws."""
89,3,David Yungmann,"Chapter 5: Economic Prosperity, page 59. • Chapter 11: Implementation, page 34.","Adds a new Implementing Action in Policy Statement EP-10 to
recognize the Agricultural Land Preservation Program Fund as a
funding source not only for acquisition of easements, but for the
promotion and backing of the agriculture industry and operating
businesses",,"Removed housing as an intention of expansion of the PSA, but retains the intention for religious facilities, philanthropic institutions and academic schools"
90,2,David Yungmann,"Chapter 2: Growth and Conservation Framework, page 21.","Amends a statement to clarify that PSA expansions are intended
for a public or institutional use such as a religious facility,
philanthropic institution, academic school",,
91,5,Deb Jung,"Chapter 1: Introduction: 2, 8, 9, 15, and 16","- Clarifies that the General Plan is the County’s growth plan;
- Removes a reference under definition of Predictability to detail
and specificity;
- Under An Inflection Point, strikes a reference to Activity Centers;
- Adds notation under Every Voice regarding the number of
individuals actively engaged in the plan process;
- Adds women and disabled owners to the list of small business
owners to be targeted with outreach efforts; and
- Removes quotes displayed as graphics",,
92,10,Deb Jung,"Chapter 2: Growth and Conservation Framework: 10, 11, 15, 16, 22, 31, 32, 33, and 37. Chapter 2: Growth and Conservation Framework: include page 15.1 after page 15.","Removes several references and false premises that form the foundation on the General Plan's development projections. For example it removes a statement that says ""The Forecast also identified a current “pent up” demand for 20,000 more
housing units, attributed to those who work in Howard County but live elsewhere in the region.""",Good,
93,16,Liz Walsh,"Chapter 2: Growth and Conservation Framework, page 18. Chapter 6: Dynamic Neighborhoods, pages 40, 46, 47, 55, and 59. Chapter 10: Managing Growth, page 21. Chapter 11: Implementation, page 37 and 38. Appendix B: Character Areas, pages 7, 8, 9, 11, 14, 17, and 23.","Removes references to the the concept of ""detached"" accessory dwelling units throughout the General Plan.",Good,
94,6,Liz Walsh,"Chapter 2: Growth and Conservation Framework, page 9. • Chapter 3: Ecological Health, pages 3 and 7. Chapter 6: Dynamic Neighborhoods, page 8. Chapter 7: Quality by Design, page 19.",Deletes a sentence that states that 39 percent of the County’s land is preserved. Perhaps to fix a factual error.,Good,
95,12,Deb Jung,"Chapter 9: Supporting Infrastructure: 8, 11, 13, 17, 20, 24, 25, and 28.  Chapter 11: Implementation: 54, and 55.",Adds policy requirements for infrastructure planning such as police and fire.,Good,""" But revenue generated by new growth helps cover only current levels of service for population increases and does not produce enough revenue to maintain and replace existing and aging infrastructure or accommodate increased levels of service based on the needs of future population demographics."""
96,2,Deb Jung,Chapter 2: Growth and Conservation Framework: page 23.,Add a statement about revenues generated by new growth not being sufficient to meet the needs of the new growth and aging infrastructure.,Bad,Include patient care facilities and emergeny response in APFO
97,3,Liz Walsh,Chapter 9: Supporting Infrastructure: page 24. • Chapter 11: Implementation: page 55.,"Adds a new Implementing Action to INF-4 Policy Statement to the
APFO Committee examine APFO with respect to the County’s
Hospital.",Good,"use of ""large parcels"" for indoor and outdoor athletic facilities throughout the county. Hosting events for out of town hospitality industry"
98,5,David Yungmann,"Chapter 9: Supporting Infrastructure, pages 26 and 28. Chapter 9: Supporting Infrastructure, insert a new page 26.1. • Chapter 11: Implementation, page 55.
","Adds a new Implementing Action in Policy Statement INF-5 for
the County to explore the development of a commercial athletic
facility",Questions,This change seems very targeted and with a project in mind.
99,5,Liz Walsh,Chapter 8: Public School Facilities: 14 and 18; • Chapter 11: Implementation: 51.,"- Creates a new PS-1 Policy Statement to ensure the integrity of HCPSS and DPZ data and creates associated Implementing Actions to direct third party audits of historic HCPSS and DPZ projections and direct third party audits of HCPSS and DPZ data sets; and 
- Amends the existing PS-1 Policy Statement Implementing Actions to remove the two Implementing Actions and substitute Implementing Actions to direct the APFO Committee to develop recommendations as to how to realign geographic bounds of planning areas, direct the APFO Committee to develop recommendations as whether the APFO school waiting periods should be linked to whether school capacity exists or is projected to exist, coordinate with HCPSS capital planning, budgeting and site acquisition efforts to make timely use of strategic infill development opportunities in character areas, and coordinate with HCPSS so that school capacity exists for expected students residing in activity centers",Good,
100,25,Deb Jung,"Chapter 6, Dynamic Neighborhoods: 6, 11, 13, 21, 22, 25, 36, 39, 40, 41, 42, 43, 44, 45, 46, 47, 49, 50, 51, 54, 57, 60, and 65; and Chapter 11: Implementation: 36, 37, 38, 39, and 41.","Eliminate narratives that advance unmitigated residential development leading to overcrowded schools while not addressing affordablity. Adds implementing actions that require parking considerations for ADUs, home ownership to households making less that 60% AMI, and requirement to adhere with APFO.",Good,use of transfer tax to fund schools
101,2,Deb Jung,Chapter 8: Public School Facilities: 27,"This Amendment amends HoCo by Design Chapter 8: Public School Facilities to remove a
reference to recent increases in the Transfer Tax and Public Schools Facility Surcharge and
substitute that increasing the percentage designated for school capital projects will assist the
school district in meeting its needs",Good,
102,,Deb Jung and Liz Walsh,,"Amendments dealing with improving access to public transportation, reporting requirements of Transportation Demand Management programs, improving pedestrian safety, funding more emissions-free vehicles.",Good,
103,,Liz Walsh,,"- Amends the EH-2 Policy Statement to integrate climate change
mitigation goals into programs receiving County funds and
amends the Implementing Actions to accelerate implementation
of the Howard County Climate Action Plan and ensure County
agency policies align with the plan, eliminate waivers and
alternative compliances of regulations protecting natural
resources, adopt the most current standards of the Green
Building requirements, accelerate inclusion of on-site renewable
power generation at appropriate locations, and refuse
permitting to expand or extend fossil fuel infrastructure;
- Amends the EH-5 Policy Statement Implementing Actions to
accelerate completion of the flooding vulnerability assessment
and revise capital project priorities accordingly and accelerate
the use of green stormwater infrastructure; and
- Amends the EH-11 Policy Statement Implementing Actions to
require the County to incorporate environmentally sensitive site
development and property management practices on County
properties.",Good,
104,,Deb Jung,,"Amends the PS-3 Policy Statement Implementing Actions to add a
revision of the Zoning Code to consider school capacity when
granting ZRAs and in cases before the Zoning Board",Good,
105,,Liz Walsh,,"-Removes the EH-13 Policy Statement and Implementing Action;
and
- Adds the Policy Statement and Implementing Action that were
removed from Chapter 3 as a new EP-14 Policy Statement and
Implementing Action.)",,
106,,Deb Jung,,"Evaluate data on existing school conditions, and remove an evaluation of
the life cycle of new and existing neighborhoods to better
understand student growth; and
- Amends the MG-1 Policy Statement Implementing Actions to
remove an evaluation and amendment of APFO standards for
transportation adequacy.)",Good,
107,,Deb Jung,,Adds a statement about redeveloped areas setting aside spaces for recreational activities and open spaces to the fourth Implementing Action to INF-5 Policy Statement,Good,
108,,Deb Jung,,"Adds a new Policy Statement and Implementing Actions as CIM10 which considers ways to reduce the impacts of noise and air
pollution generated by air travel and ensure that future
residential development addresses those evolving conditions",Good,
109,,Liz Walsh,,Adds a statement about deer management in residential and recreational areas to the seventh Implementing Action to EH-7 Policy Statement.,Good,
110,,Liz Walsh,,"Adds a new Implementing Action to EH-9 Policy Statement about
new agricultural zoning districts. Specifically to define and apply one or more new zoning districts specific to agricultural use
and preservation.",Good,
111,,Liz Walsh,,Adds two statements about eliminating surface runoff.,Good,
112,,Liz Walsh,,"Adds a statement about eliminating State Forest Conservation
waivers and alternative compliances to the second Implementing
Action to EH-2 Policy Statement",Good,
113,,Liz Walsh,,"Amends the EH-7 Policy Statement Implementing Actions to
accelerate implementation of the recently amended State Forest
Conservation Act, amend the Act to exceed State minimum
standards, and report annually on fee-in-lieu activities and
establish specified goals for forest interior habitats.",Good,
114,,Deb Jung,,"Amends DN-6 Policy and Implementing Action 6 in Table 10-1:
Implementation Matrix by adding a new Implementation Action
6: “Explore ways to allow homeowners in the County’s moderate
income home ownership program to realize market appreciation
in their homes as a means to building generational wealth.",Good,
115,,Deb Jung,,"Amends the “Opportunities to increase the Supply of IncomeRestricted Housing Units section of the DN-4 Policy Statement by
deleting the second sentence in the third paragraph and adding
language concerning the ability of developers to pay a fee-in-lieu
(FIL) which can result in economic segregation and requiring
that developers use specified Missing Middle housing prototypes
that will alleviate the need to build off-site and provide a greater
socio-economic balance",Good,
116,,,,,,